annual_rainfall_mm,monsoon_rainfall_mm,pre_monsoon_rainfall_mm,post_monsoon_rainfall_mm,cloud_visibility_km,flood
2889.7,1618.7,239.0,1031.9,7.77,1
1985.0,1498.5,296.6,189.9,11.12,1
3118.2,2604.2,514.6,50.0,3.23,1
2682.9,2142.9,201.2,338.7,6.93,1
1054.3,667.5,59.6,327.1,8.22,0
3434.2,1943.7,398.2,1092.3,11.17,1
2855.1,2375.7,474.2,50.0,14.48,1
2922.4,2428.8,431.4,62.1,12.8,1
1145.9,813.3,177.9,154.7,9.51,0
2016.0,1497.3,222.6,296.1,8.96,0
1801.2,1240.6,153.5,407.0,9.25,0
3302.3,2232.1,428.5,641.6,8.41,1
2538.4,1487.1,204.7,846.6,1.36,1
3021.5,1749.5,480.2,791.7,10.63,1
1997.2,1237.9,158.9,600.4,10.89,0
1413.5,1132.2,132.4,148.9,7.93,0
2297.4,1364.1,289.4,643.9,13.12,0
972.3,600.9,119.6,251.8,10.25,0
3034.6,2168.5,425.2,440.9,5.76,1
2505.5,1539.7,289.7,676.1,0.79,1
2846.8,1705.1,535.0,606.7,1.36,1
1757.2,1263.4,309.3,184.5,5.6,1
3420.9,2259.2,622.1,539.5,7.2,1
3211.4,2369.5,463.8,378.1,2.92,1
2901.6,2390.0,421.5,90.2,3.25,1
1325.5,789.1,187.4,349.0,3.84,0
2060.1,1697.6,237.4,125.1,11.82,0
918.3,753.7,90.3,74.3,11.68,0
1216.6,971.7,168.9,76.0,6.05,0
2644.2,1955.1,142.3,546.8,3.0,1
2810.9,2068.9,143.7,598.3,2.11,1
3412.3,2531.1,606.5,274.7,1.76,1
1679.7,1271.8,95.7,312.2,6.17,0
1800.2,999.0,231.7,569.5,1.16,1
2067.8,1731.6,294.1,50.0,5.34,1
1311.6,951.8,104.6,255.2,14.44,0
1150.8,902.7,212.2,50.0,7.86,0
2084.4,1382.3,163.7,538.4,12.43,0
1412.7,782.2,258.1,372.4,2.37,0
2608.5,1833.6,429.0,346.0,4.39,1
1980.3,1390.5,170.5,419.3,14.22,0
3048.2,2076.1,221.3,750.8,6.06,1
2690.7,1754.1,262.2,674.4,9.9,1
1643.4,1027.0,180.3,436.1,14.65,0
3047.1,2158.2,264.7,624.3,8.49,1
2972.9,1969.8,594.1,409.0,4.93,1
